ら戳,秨絃计,程蔼计,程计,Μ絃计
99/02/23,7575.62,7597.44,7502.45,7597.44
99/02/24,7516.47,7585.19,7515.38,7529.67
99/02/25,7568.42,7568.42,7400.42,7426.96
99/02/26,7451.17,7479.28,7383.68,7436.1
99/03/01,7492.84,7620.56,7451.09,7577.75
99/03/02,7649.62,7664.49,7592.66,7597.62
99/03/03,7628.78,7670.25,7604.86,7629.52
99/03/04,7664.0,7664.0,7524.19,7569.8
99/03/05,7659.76,7694.89,7618.0,7666.26
99/03/08,7741.8,7763.76,7716.28,7762.27
99/03/09,7762.4,7770.59,7737.65,7770.59
99/03/10,7797.7,7803.27,7736.7,7779.08
99/03/11,7817.59,7818.84,7749.4,7749.66
99/03/12,7773.52,7773.52,7726.09,7748.33
99/03/15,7750.87,7766.36,7634.92,7634.92
99/03/16,7671.41,7695.81,7645.17,7695.63
99/03/17,7763.43,7849.38,7762.85,7847.84
99/03/18,7861.27,7922.48,7847.55,7886.34
99/03/19,7899.01,7899.01,7859.29,7897.91
99/03/22,7861.9,7872.78,7791.25,7835.98
99/03/23,7880.12,7889.04,7804.4,7811.87
99/03/24,7875.27,7881.37,7822.71,7822.71
99/03/25,7824.74,7856.31,7753.51,7838.1
99/03/26,7808.15,7909.41,7770.42,7876.86
99/03/29,7918.95,7961.14,7909.06,7947.45
99/03/30,7992.12,7994.62,7942.47,7962.22
99/03/31,7962.91,7974.89,7920.06,7920.06
99/04/01,7952.62,8026.06,7952.62,8013.09
99/04/02,8046.29,8050.99,8021.91,8025.93
99/04/06,8083.03,8128.08,8082.37,8089.65
99/04/07,8131.4,8133.45,8091.28,8121.78
99/04/08,8106.0,8149.68,8038.37,8057.6
99/04/09,8073.52,8094.35,8039.41,8092.03
99/04/12,8149.76,8152.53,8092.94,8117.75
99/04/13,8090.54,8104.14,8022.94,8029.73
99/04/14,8077.94,8102.38,8040.01,8097.13
99/04/15,8168.11,8190.01,8136.32,8171.94
99/04/16,8161.85,8162.85,8090.68,8111.57
99/04/19,8003.02,8042.05,7845.77,7854.22
99/04/20,7908.11,7923.27,7842.07,7900.42
99/04/21,7949.96,7998.76,7947.9,7990.53
99/04/22,7948.89,7985.49,7897.14,7978.69
99/04/23,8021.71,8030.11,7996.77,8004.89
99/04/26,8107.22,8168.47,8093.14,8158.14
99/04/27,8174.85,8174.85,8121.14,8146.44
99/04/28,7944.7,8092.48,7944.7,8081.55
99/04/29,8105.96,8107.36,8053.02,8054.05
99/04/30,8116.39,8163.94,7999.28,8004.25
99/05/03,7979.8,8022.45,7916.04,7952.17
99/05/04,8006.79,8010.98,7889.93,7930.77
99/05/05,7759.18,7785.55,7695.69,7696.9
99/05/06,7696.27,7702.11,7562.03,7579.48
99/05/07,7393.27,7572.79,7387.19,7567.1
99/05/10,7610.88,7664.73,7577.31,7664.73
99/05/11,7718.17,7743.41,7608.44,7608.44
99/05/12,7663.34,7674.52,7596.21,7602.7
99/05/13,7703.48,7787.32,7687.55,7770.57
99/05/14,7735.6,7772.54,7725.82,7772.13
99/05/17,7697.79,7697.79,7574.06,7598.72
99/05/18,7630.1,7637.99,7560.89,7585.3
99/05/19,7527.62,7588.09,7467.2,7559.16
99/05/20,7557.17,7557.17,7424.43,7424.43
99/05/21,7229.17,7277.93,7164.21,7237.71
99/05/24,7296.15,7344.92,7269.81,7322.73
99/05/25,7238.16,7241.84,7032.4,7086.37
99/05/26,7161.4,7174.38,7079.85,7167.35
99/05/27,7139.45,7254.68,7105.11,7243.16
99/05/28,7338.77,7364.01,7271.3,7295.32
99/05/31,7312.26,7373.98,7292.54,7373.98
99/06/01,7327.01,7348.56,7276.52,7289.33
99/06/02,7252.79,7304.13,7159.75,7195.71
99/06/03,7322.51,7361.7,7309.46,7360.28
99/06/04,7377.56,7377.56,7337.35,7344.59
99/06/07,7139.76,7172.3,7085.55,7157.83
99/06/08,7142.31,7179.14,7128.92,7151.99
99/06/09,7166.19,7193.04,7048.6,7071.67
99/06/10,7134.16,7182.99,7085.34,7181.77
99/06/11,7302.97,7321.6,7273.7,7299.49
99/06/14,7372.93,7393.41,7347.23,7387.4
99/06/15,7388.57,7489.68,7364.34,7454.06
99/06/17,7503.12,7534.06,7481.72,7515.78
99/06/18,7538.55,7538.55,7459.93,7493.11
99/06/21,7595.93,7645.71,7562.25,7635.56
99/06/22,7630.64,7639.66,7610.62,7612.68
99/06/23,7576.29,7615.44,7549.98,7582.15
99/06/24,7601.72,7607.63,7567.96,7589.89
99/06/25,7509.72,7537.37,7463.29,7474.71
99/06/28,7507.15,7536.61,7489.55,7500.79
99/06/29,7554.78,7584.81,7423.57,7423.57
99/06/30,7277.39,7337.32,7255.09,7329.37
99/07/01,7326.89,7327.4,7251.6,7254.06
99/07/02,7285.01,7378.77,7285.01,7330.74
99/07/05,7351.18,7447.18,7351.18,7439.96
99/07/06,7385.33,7548.48,7382.37,7548.48
99/07/07,7560.22,7565.37,7517.68,7534.46
99/07/08,7612.71,7622.46,7583.36,7608.85
99/07/09,7644.11,7652.55,7599.84,7647.25
99/07/12,7674.26,7705.11,7636.81,7639.55
99/07/13,7664.71,7671.48,7587.87,7597.42
99/07/14,7688.82,7720.63,7683.83,7714.51
99/07/15,7699.49,7732.31,7681.87,7704.52
99/07/16,7717.24,7719.05,7660.76,7664.57
99/07/19,7602.68,7666.58,7596.26,7649.83
99/07/20,7678.89,7730.88,7638.49,7712.03
99/07/21,7742.48,7752.8,7678.3,7701.29
99/07/22,7699.36,7718.92,7665.78,7666.34
99/07/23,7747.03,7782.02,7739.04,7761.22
99/07/26,7787.07,7807.07,7765.68,7787.45
99/07/27,7806.25,7806.25,7748.01,7748.01
99/07/28,7736.59,7786.23,7726.4,7784.81
99/07/29,7778.74,7799.57,7738.48,7798.99
99/07/30,7765.25,7781.24,7731.19,7760.63
99/08/02,7829.19,7917.95,7829.19,7911.68
99/08/03,7961.68,7970.58,7915.83,7957.53
99/08/04,7960.3,7978.16,7938.92,7972.66
99/08/05,8010.07,8018.74,7921.98,7936.85
99/08/06,7938.09,7963.3,7922.29,7963.3
99/08/09,7974.67,8040.94,7971.19,8034.49
99/08/10,8054.29,8054.29,7975.38,7976.74
99/08/11,7923.57,7956.9,7869.52,7895.03
99/08/12,7789.46,7837.38,7776.66,7829.79
99/08/13,7845.98,7906.35,7830.46,7891.58
99/08/16,7884.28,7941.22,7850.13,7941.22
99/08/17,7962.7,7973.15,7931.09,7931.09
99/08/18,7978.52,7984.57,7897.18,7924.1
99/08/19,7925.48,7948.73,7886.73,7928.94
99/08/20,7915.16,7941.61,7905.01,7927.31
99/08/23,7938.21,8013.12,7924.1,7975.93
99/08/24,7983.62,7990.49,7940.64,7940.64
99/08/25,7889.57,7889.57,7736.98,7736.98
99/08/26,7743.32,7758.14,7666.51,7689.74
99/08/27,7702.59,7722.91,7662.23,7722.91
99/08/30,7797.26,7806.91,7737.28,7741.2
99/08/31,7669.31,7687.47,7577.1,7616.28
99/09/01,7643.61,7679.43,7625.72,7668.25
99/09/02,7764.8,7780.53,7715.31,7720.82
99/09/03,7770.93,7830.21,7770.93,7830.21
99/09/06,7879.7,7902.56,7841.83,7890.95
99/09/07,7914.38,7922.07,7876.67,7884.4
99/09/08,7866.35,7898.76,7824.65,7851.31
99/09/09,7901.83,7903.47,7817.87,7835.54
99/09/10,7900.56,7911.66,7859.33,7890.11
99/09/13,7961.98,8091.3,7946.98,8091.3
99/09/14,8121.68,8132.6,8081.79,8132.6
99/09/15,8152.63,8163.82,8113.97,8163.82
99/09/16,8174.85,8182.8,8099.75,8099.75
99/09/17,8150.94,8197.82,8134.3,8158.33
99/09/20,8174.88,8195.74,8161.82,8186.96
99/09/21,8249.6,8251.42,8177.4,8196.4
99/09/23,8201.68,8223.22,8154.97,8202.54
99/09/24,8182.16,8190.96,8129.21,8166.62
99/09/27,8239.11,8240.86,8189.38,8191.54
99/09/28,8201.81,8211.42,8173.26,8189.44
99/09/29,8241.65,8286.93,8218.75,8240.89
99/09/30,8259.24,8267.55,8204.84,8237.78
99/10/01,8259.08,8260.28,8220.73,8244.18
99/10/04,8261.16,8300.04,8240.67,8246.1
99/10/05,8217.86,8217.86,8155.3,8200.43
99/10/06,8296.23,8301.39,8267.61,8284.03
99/10/07,8304.91,8310.8,8270.31,8283.92
99/10/08,8306.32,8309.91,8232.02,8244.19
99/10/11,8277.78,8277.78,8165.2,8176.76
99/10/12,8176.7,8180.39,8058.59,8090.22
99/10/13,8116.69,8143.19,8067.87,8106.66
99/10/14,8181.51,8252.2,8178.34,8215.45
99/10/15,8216.87,8242.77,8184.29,8205.3
99/10/18,8209.39,8209.39,8057.12,8060.54
99/10/19,8044.9,8074.68,8018.31,8046.23
99/10/20,7993.43,8131.19,7992.81,8124.62
99/10/21,8135.57,8171.49,8109.79,8131.23
99/10/22,8169.51,8174.03,8148.26,8168.06
99/10/25,8204.01,8307.59,8199.49,8306.98
99/10/26,8336.95,8353.86,8319.01,8343.23
99/10/27,8369.75,8372.52,8285.73,8291.04
99/10/28,8315.0,8386.29,8281.52,8354.05
99/10/29,8348.39,8348.39,8278.72,8287.09
99/11/01,8343.52,8407.91,8343.52,8379.75
99/11/02,8380.06,8390.1,8344.76,8344.76
99/11/03,8394.53,8398.3,8273.47,8293.9
99/11/04,8321.36,8367.19,8317.86,8357.85
99/11/05,8444.81,8458.47,8420.65,8449.34
99/11/08,8473.66,8473.66,8416.2,8430.58
99/11/09,8430.7,8457.41,8421.13,8445.63
99/11/10,8457.09,8471.57,8425.24,8450.63
99/11/11,8437.02,8458.49,8422.96,8436.95
99/11/12,8404.43,8416.35,8309.36,8316.05
99/11/15,8287.83,8301.35,8226.71,8240.65
99/11/16,8234.22,8324.51,8234.22,8312.21
99/11/17,8249.95,8284.51,8228.24,8255.54
99/11/18,8285.55,8286.92,8238.77,8283.45
99/11/19,8344.66,8372.16,8283.27,8306.12
99/11/22,8343.32,8391.25,8334.42,8374.91
99/11/23,8388.26,8396.49,8323.81,8328.63
99/11/24,8277.33,8337.19,8277.33,8297.05
99/11/25,8337.9,8355.39,8330.92,8349.99
99/11/26,8371.27,8371.27,8312.15,8312.15
99/11/29,8399.77,8401.42,8331.51,8367.17
99/11/30,8384.64,8443.38,8363.97,8372.48
