0,1,2,3,4,5,6,7,8
2010/01/06(星期三),4450,10,4050,10.0,6400.0,100.0,5400.0,100.0
2010/01/07(星期四),4490,40,4090,40.0,6500.0,100.0,5500.0,100.0
2010/01/08(星期五),4480,10,4080,10.0,6500.0,0.0,5500.0,0.0
2010/01/09(星期六),4510,30,4110,30.0,6500.0,0.0,5500.0,0.0
2010/01/11(星期一),4560,50,4160,50.0,6500.0,0.0,5500.0,0.0
2010/01/12(星期二),4550,10,4150,10.0,6500.0,0.0,5500.0,0.0
2010/01/13(星期三),4490,60,4090,60.0,6500.0,0.0,5500.0,0.0
2010/01/14(星期四),4530,40,4130,40.0,6600.0,100.0,5600.0,100.0
2010/01/15(星期五),4520,10,4120,10.0,6600.0,0.0,5600.0,0.0
2010/01/16(星期六),4490,30,4090,30.0,6600.0,0.0,5600.0,0.0
2010/01/18(星期一),4490,0,4090,0.0,6700.0,100.0,5700.0,100.0
2010/01/19(星期二),4520,30,4120,30.0,6800.0,100.0,5800.0,100.0
2010/01/20(星期三),4510,10,4110,10.0,6900.0,100.0,5900.0,100.0
2010/01/21(星期四),4450,60,4050,60.0,6900.0,0.0,5900.0,0.0
2010/01/22(星期五),4390,60,3990,60.0,6800.0,100.0,5800.0,100.0
2010/01/23(星期六),4380,10,3980,10.0,6800.0,0.0,5800.0,0.0
2010/01/25(星期一),4390,10,3990,10.0,6600.0,200.0,5600.0,200.0
2010/01/26(星期二),4400,10,4000,10.0,6700.0,100.0,5700.0,100.0
2010/01/27(星期三),4400,0,4000,0.0,6600.0,100.0,5600.0,100.0
2010/01/28(星期四),4360,40,3960,40.0,6500.0,100.0,5500.0,100.0
2010/01/29(星期五),4350,10,3950,10.0,6500.0,0.0,5500.0,0.0
2010/01/30(星期六),4340,10,3940,10.0,6500.0,0.0,5500.0,0.0
2010/02/01(星期一),4330,10,3930,10.0,6500.0,0.0,5500.0,0.0
2010/02/02(星期二),4410,80,4010,80.0,6600.0,100.0,5600.0,100.0
2010/02/03(星期三),4440,30,4040,30.0,6700.0,100.0,5700.0,100.0
2010/02/04(星期四),4430,10,4030,10.0,6700.0,0.0,5700.0,0.0
2010/02/05(星期五),4290,140,3890,140.0,6400.0,300.0,5400.0,300.0
2010/02/06(星期六),4290,0,3890,0.0,6400.0,0.0,5400.0,0.0
2010/02/08(星期一),4290,0,3890,0.0,6400.0,0.0,5400.0,0.0
2010/02/09(星期二),4290,0,3890,0.0,6400.0,0.0,5400.0,0.0
2010/02/10(星期三),4310,20,3910,20.0,6400.0,0.0,5400.0,0.0
