日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
099年10月06日,10.3,4.33,2.26,,
099年10月07日,10.06,4.44,2.21,,
099年10月08日,10.03,4.45,2.2,,
099年10月11日,10.07,4.43,2.21,,
099年10月12日,10.02,4.45,2.2,,
099年10月13日,9.93,4.49,2.18,,
099年10月14日,10.01,4.46,2.2,,
099年10月15日,10.02,4.45,2.2,,
099年10月18日,9.8,4.56,2.15,,
099年10月19日,9.77,4.57,2.14,,
099年10月20日,9.79,4.56,2.15,,
099年10月21日,9.82,4.55,2.16,,
099年10月22日,9.82,4.55,2.16,,
099年10月25日,10.02,4.45,2.2,,
099年10月26日,10.06,4.44,2.21,,
099年10月27日,9.99,4.47,2.19,,
099年10月28日,9.99,4.47,2.19,,
099年10月29日,9.93,4.49,2.1,,
099年11月01日,10.3,4.42,2.13,,
099年11月02日,10.3,4.42,2.13,,
099年11月03日,10.15,4.49,2.1,,
099年11月04日,10.0,4.56,2.07,,
099年11月05日,9.95,4.58,2.06,,
099年11月08日,10.07,4.52,2.09,,
099年11月09日,10.01,4.55,2.08,,
099年11月10日,10.01,4.55,2.08,,
099年11月11日,10.03,4.54,2.08,,
099年11月12日,10.01,4.55,2.08,,
099年11月15日,9.94,4.58,2.06,,
099年11月16日,9.93,4.59,2.06,,
099年11月17日,9.87,4.61,2.05,,
099年11月18日,9.91,4.6,2.05,,
099年11月19日,10.0,4.56,2.07,,
099年11月22日,10.01,4.55,2.08,,
099年11月23日,9.97,4.57,2.07,,
099年11月24日,9.99,4.56,2.07,,
099年11月25日,9.97,4.57,2.07,,
099年11月26日,9.95,4.58,2.06,,
099年11月29日,10.0,4.56,2.07,,
099年11月30日,10.1,4.51,2.09,,
099年12月01日,10.17,4.48,2.11,,
099年12月02日,10.06,4.53,2.08,,
099年12月03日,10.05,4.54,2.08,,
099年12月06日,10.05,4.54,2.08,,
099年12月07日,10.02,4.55,2.08,,
099年12月08日,10.08,4.52,2.09,,
099年12月09日,10.08,4.52,2.09,,
099年12月10日,10.06,4.53,2.08,,
099年12月13日,10.1,4.51,2.09,,
099年12月14日,10.03,4.54,2.08,,
099年12月15日,10.11,4.5,2.1,,
099年12月16日,10.13,4.5,2.1,,
099年12月17日,10.14,4.49,2.1,,
099年12月20日,10.17,4.48,2.11,,
099年12月21日,10.17,4.48,2.11,,
099年12月22日,10.14,4.49,2.1,,
099年12月23日,10.1,4.51,2.09,,
099年12月24日,10.11,4.5,2.1,,
099年12月27日,10.19,4.47,2.11,,
099年12月28日,10.15,4.49,2.1,,
099年12月29日,10.1,4.51,2.09,,
099年12月30日,10.16,4.48,2.11,,
099年12月31日,10.16,4.48,2.11,,
100年01月03日,10.18,4.47,2.11,,
100年01月04日,10.21,4.46,2.12,,
100年01月05日,10.08,4.52,2.09,,
100年01月06日,10.14,4.49,2.1,,
100年01月07日,10.09,4.51,2.09,,
100年01月10日,10.09,4.51,2.09,,
100年01月11日,10.09,4.51,2.09,,
100年01月12日,10.05,4.54,2.08,,
100年01月13日,10.05,4.54,2.08,,
100年01月14日,10.02,4.55,2.08,,
100年01月17日,10.13,4.5,2.1,,
